period,interest_rate_pct,source_code
2024-03,5.68,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-04,5.58,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-05,5.5,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-06,5.44,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-07,5.36,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-08,5.17,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-09,5.02,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-10,4.77,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-11,4.55,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2024-12,4.36,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-01,4.35,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-02,4.29,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-03,4.2,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-04,4.05,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-05,3.93,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-06,3.76,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-07,3.71,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-08,3.68,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-09,3.66,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-10,3.65,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-11,3.68,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2025-12,3.69,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2026-01,3.67,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2026-02,3.67,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2026-03,3.79,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2026-04,3.88,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
2026-05,3.96,PNS.M.A2V.A.C.A.U2.250.200.N.LT.PC___.E.SR
